	HPLM-400_Exp1	HPLM-400_Exp2	HPLM-400_Exp3	HPLM-6k_Exp1	HPLM-6k_Exp2	HPLM-6k_Exp3	HPLM-60k_Exp1	HPLM-60k_Exp2	HPLM-60k_Exp3	HG-HPLM-400_Exp1	HG-HPLM-400_Exp2	HG-HPLM-400_Exp3	HG-HPLM-6k_Exp1	HG-HPLM-6k_Exp2	HG-HPLM-6k_Exp3	HG-HPLM-60k_Exp1	HG-HPLM-60k_Exp2	HG-HPLM-60k_Exp3	400_Exp1	400_Exp2	400_Exp3	6k_Exp1	6k_Exp2	6k_Exp3	60k_Exp1	60k_Exp2	60k_Exp3	HG-400_Exp1	HG-400_Exp2	HG-400_Exp3	HG-6k_Exp1	HG-6k_Exp2	HG-6k_Exp3	HG-60k_Exp1	HG-60k_Exp2	HG-60k_Exp3
ADP	22131114.0	23031724.0	23474146.0	36342485.0	39161536.0	46428058.0	39128511.0	44050727.0	45818244.0	11071903.0	11456779.0	14602327.0	22714573.0	17322913.0	23763929.0	34128155.0	33306928.0	40875028.0	9356090.0	8426324.0	10634519.0	10319368.0	10391428.0	12194642.0	12197282.0	13906156.0	15154553.0	6917744.0	7582179.0	6967522.0	31405154.0	36272208.0	29787640.0	48153381.0	48881102.0	58446816.0
ADP/ATP	0.850925050849152	0.510506333838792	0.763919866690727	0.675445300170952	0.693565822969379	0.651619187025659	1.35478784246829	1.1735898890812	0.839725255265093	0.554306935535922	0.43800784820298	0.521218102475209	0.661766819812555	0.786483235015247	0.60428810877015	0.725732206202277	0.73306326267978	0.77418916643512	0.516082523427307	0.364216928701723	0.562503110833147	0.555104129280911	0.443709518404775	0.52793914776128	0.837893969192017	0.736455794612377	0.662395115676481	0.522315545684029	0.566594970904593	0.597732954262743	0.405988747425174	0.415391509348666	0.367897436049444	0.45725047634985	0.456245345069999	0.43725523594725
ADPfromATP	16566965.0	38643682.0	22063042.0	40872043.0	43686548.0	49068604.0	21608242.0	24072074.0	57077738.0	12872065.0	23190758.0	20410512.0	23861632.0	18852131.0	31769575.0	35785125.0	46342030.0	39170476.0	11372474.0	21421110.0	14872721.0	11927695.0	20394535.0	17037088.0	11149963.0	13207859.0	22513884.0	9223431.0	11460360.0	7870610.0	67599655.0	59554186.0	50933765.0	85341172.0	77184655.0	88422456.0
Ala	1935820419.0	2244700354.0	1937308364.0	1982341468.0	1737062895.0	1812807952.0	1664950102.0	1539627338.0	1684660547.0	2115724215.0	2373702427.0	2182005148.0	1749592314.0	1831827787.0	1596801788.0	1557692160.0	1644435364.0	1499139569.0	46800726.0	40818249.0	35390516.0	32005053.0	33359612.0	35762269.0	31539505.0	30814575.0	33792181.0	132525649.0	134788113.0	123863082.0	92075546.0	82618217.0	81301130.0	76709146.0	70048285.0	72189291.0
AMP	3344080.0	2902594.0	3373456.0	2763355.0	3690403.0	4785030.0	4788443.0	5255011.0	4869733.0	2683378.0	1391990.0	2011323.0	4725571.0	3365165.0	4323334.0	4102533.0	3114613.0	5691333.0	2396190.0	1488143.0	1872475.0	2427495.0	2021560.0	1988651.0	2921811.0	3451433.0	2775163.0	1795609.0	1823098.0	1963035.0	2251431.0	3051641.0	3163568.0	2693195.0	3957501.0	4921897.0
AMP/ATP	0.128577415671151	0.0643370258154567	0.109782484006321	0.051358489862592	0.0653584525842823	0.0671580396167634	0.165795329159149	0.140002860261773	0.0892491162799222	0.134341407801758	0.0532176229130427	0.0717925271448	0.137674879138975	0.152782956051334	0.109937179430291	0.0872400024293035	0.0685505540398339	0.107796093770864	0.132173993816998	0.0643230515381285	0.0990428445759791	0.130580913318409	0.0863197448922666	0.086094098878394	0.200714209609887	0.182784360578609	0.121300470980971	0.135575195420668	0.136235000290315	0.168405741649781	0.029105275255272	0.0349475764193973	0.0390721975949779	0.0255737950498852	0.0369384350082751	0.0368219414046962
Arg	1255737933.0	1671657103.0	1277859597.0	1906396468.0	1416154780.0	1305877562.0	1998961191.0	1738564087.0	2519669788.0	1240438505.0	1686913261.0	1499466423.0	1358785221.0	1805581707.0	1473462894.0	1313000706.0	2268509838.0	1340629117.0	4820957299.0	8607627196.0	7613091473.0	6635369485.0	11360799180.0	10517916370.0	9304932644.0	7720667534.0	10262096595.0	5092900585.0	6982390101.0	4742393569.0	7276710545.0	4737104938.0	3676909492.0	8276422536.0	6651623532.0	6394234066.0
Arg-Succ	754876.0	616640.0	443199.0	882789.0	660995.0	900439.0	602428.0	991463.0	710178.0	714744.0	764037.0	967637.0	518475.0	333968.0	588891.0	540788.0	292076.0	302755.0	0.0	0.0	0.0	0.0	0.0	0.0	119271.0	157278.0		82133.0		83688.0			102000.0		149008.0	
Asn	147013331.0	146114940.0	159189899.0	96362629.0	98092130.0	96773629.0	85027757.0	91774339.0	69152646.0	148396156.0	140706326.0	153845394.0	92831852.0	88297047.0	89727585.0	69472370.0	70137662.0	82666398.0	2957378.0	2712077.0	2781848.0	2302741.0	2494412.0	3109359.0	15658991.0	16130281.0	12902025.0	6682896.0	4857408.0	6103342.0	2767377.0	2929442.0	4010137.0	16864281.0	16343125.0	18460597.0
Asp	139519689.0	136013233.0	143289407.0	99246633.0	111023984.0	107524875.0	85909927.0	99004728.0	88243321.0	134747120.0	135438456.0	138569888.0	97427764.0	86682144.0	105837990.0	78571226.0	74471809.0	89120291.0	14001884.0	15273703.0	14561880.0	12630371.0	10330524.0	10392764.0	15163768.0	20228323.0	15557225.0	16199395.0	14152865.0	13429056.0	12326524.0	13002457.0	14008444.0	15230567.0	19927779.0	24464885.0
ATP	26008300.0	45115452.0	30728545.0	53805223.0	56464051.0	71250293.0	28881652.0	37535026.0	54563375.0	19974318.0	26156561.0	28015771.0	34324134.0	22025788.0	39325495.0	47025824.0	45435271.0	52797210.0	18129058.0	23135454.0	18905707.0	18589968.0	23419439.0	23098575.0	14557071.0	18882540.0	22878419.0	13244377.0	13382009.0	11656580.0	77354740.0	87320533.0	80967240.0	105310729.0	107137755.0	133667504.0
Cytidine	6521736.0	7037959.0	6942794.0	5130507.0	4256673.0	3852833.0	5314833.0	4952968.0	5311002.0	7763736.0	8295145.0	7828403.0	2908214.0	3645202.0	3835030.0	3279308.0	4310280.0	3513297.0	11599691.0	10311494.0	10033173.0	6808377.0	6479258.0	6326026.0	5366646.0	5396482.0	5311854.0	7366589.0	6883822.0	7582756.0	5106497.0	4244990.0	4678298.0	4418028.0	4199093.0	3959278.0
Carbamoyl-Asp	5494188.0	5889581.0	6220686.0	3701672.0	4909256.0	3704836.0	3059572.0	2921361.0	2777052.0	7383803.0	3632726.0	5743187.0	3170341.0	3803416.0	3997578.0	2947998.0	2590281.0	3004005.0	7353663.0	7160084.0	8174646.0	5032934.0	4103147.0	4366459.0	1820550.0	2599006.0	3183935.0	7576908.0	5384089.0	4887115.0	4111720.0	5157806.0	3921508.0	3450581.0	4254430.0	2857769.0
Carnitine	29305814433.0	30855013970.0	28944682452.0	25534044324.0	23364555899.0	23425445727.0	21645960488.0	21152039427.0	21969841973.0	30839756348.0	33395213583.0	31796867021.0	22634954902.0	23948701355.0	23676837224.0	22194105238.0	22125730517.0	20989139327.0	1179924095.0	817408872.0	908772737.0	964425146.0	667348359.0	770617092.0	729852137.0	849003459.0	652612790.0	3449659019.0	3021722807.0	3545303757.0	1953443949.0	2211224699.0	2498630978.0	1379464466.0	1614604568.0	1703938418.0
CDP	1151275.0	1054099.0	1224322.0	2089238.0	2791624.0	3102289.0	1773103.0	2570525.0	3042461.0	473878.0	420151.0	580395.0	1173594.0	1170043.0	1404576.0	2352225.0	1458923.0	2220743.0	418378.0	77990.0	314569.0	289446.0	60770.0	255661.0	306076.0	659404.0	73500.0	96740.0			1202997.0	1062533.0	855708.0	1656637.0	1628126.0	2605943.0
CDP-EtA	113326.0			0.0	0.0	0.0	0.0	0.0	0.0	121881.0		215532.0	0.0	0.0	0.0	0.0	0.0	0.0		116504.0		118039.0	103365.0	208754.0	148296.0		114896.0	0.0	0.0	0.0		112528.0		192695.0	155731.0	
Choline	11410705317.0	11748750195.0	10878477555.0	9660311822.0	9592052838.0	10143798508.0	6971960964.0	7095838266.0	7472489205.0	12464967927.0	12428458137.0	12311271754.0	9759050221.0	9447363439.0	9171924066.0	7440636109.0	7460523439.0	6966371793.0	14379511497.0	13336953514.0	12428691330.0	10767862525.0	9845967441.0	9768625737.0	6157886951.0	6324467218.0	6350334981.0	11434439266.0	12005250213.0	12009124446.0	8946476453.0	8531633258.0	9543119735.0	5253876192.0	5548007289.0	6118998774.0
Cit	3864601739.0	4813894660.0	4181702392.0	2188079117.0	2518790261.0	2524809715.0	1805771014.0	2093264705.0	2052099631.0	4166222499.0	3682500731.0	3289086039.0	2272862316.0	1661970118.0	2315419247.0	1974557459.0	1990937756.0	2121674318.0	122230459.0	116761127.0	103765149.0	117287326.0	109928353.0	101480035.0	118383158.0	145583543.0	144549857.0	250391478.0	222870351.0	217780018.0	173995940.0	197592761.0	172793831.0	188241988.0	211743752.0	216223117.0
Citrulline	4239868237.0	3022644235.0	3198001923.0	3594121414.0	3289426279.0	3738395976.0	3228901330.0	3143972189.0	3378244707.0	3375453733.0	2627173373.0	3639639807.0	2998628500.0	2885311598.0	2737219582.0	2985717928.0	3078403477.0	2729432106.0	15007217.0	14238096.0	16651333.0	13525444.0	13793094.0	15110948.0	12902997.0	14592806.0	16986509.0	86299375.0	93955883.0	104928576.0	73536984.0	71961689.0	78921547.0	46485591.0	45305561.0	54206318.0
Creatine	12651661177.0	13562344691.0	12590579132.0	12083680115.0	10914592064.0	10934160151.0	10309187327.0	9752188188.0	10679030486.0	13757165014.0	14738740820.0	13573256155.0	10994168042.0	11948868304.0	10991879527.0	10682386426.0	10810618031.0	10217708191.0	756991999.0	675487848.0	619644008.0	467371894.0	465993069.0	490275768.0	458666423.0	455475182.0	437181456.0	1559794348.0	1598764639.0	1629942447.0	1038813567.0	977041383.0	1025102787.0	854603456.0	880141994.0	914413715.0
Creatine/P-Creatine	53.1581542483639	56.2060906143565	54.4610185852027	39.014855267102	37.2379392161591	37.9446083288507	28.0810278903306	27.48408213668	28.7882695967519	74.9118559568962	71.6073989025331	68.5218775427659	39.5665742097941	39.5095324832347	39.3643370839938	34.934946745363	35.5786463965851	34.8401642248167	18.4963694932464	17.3043242913816	15.2075023323795	9.19610475697615	8.99322996561775	9.61176844440631	7.2022035959669	6.7877417702194	6.13716652044888	40.5108033442441	40.7506222394175	42.0271099127662	19.7192276625336	20.5073781245876	22.6309051578013	12.0610897228118	12.7611500575123	12.6950278414556
Creatinine	44055931545.0	43302725243.0	45525146200.0	36197867318.0	39290795702.0	36418876133.0	28386677886.0	30660940211.0	28951892621.0	48580277234.0	45922027038.0	44869206880.0	37526139549.0	36269148554.0	38998695600.0	30581870470.0	28835876611.0	30707515717.0	1325598342.0	750620425.0	939859142.0	1023171453.0	692730199.0	806081637.0	698635229.0	886320644.0	619197692.0	4432918193.0	3766311020.0	4682399556.0	2750015334.0	3446282249.0	3478256918.0	1654682803.0	2242731652.0	2211241034.0
CTP	1215091.0	1965875.0	1161268.0	2957470.0	3326235.0	4541962.0	775698.0	1457317.0	2117260.0	785778.0	726456.0	1488214.0	1566918.0	928084.0	1776089.0	2885540.0	2386363.0	3000618.0	398178.0	516104.0	620065.0	464358.0	708785.0	285734.0	204913.0	379174.0	458801.0	141511.0	187509.0	112877.0	3976272.0	3561136.0	3744896.0	4778638.0	4745608.0	6330903.0
Cys		104649.0		822657.0	168950.0	73623.0	752280.0	106107.0	1684804.0		242430.0		79385.0	125591.0	207536.0	394962.0	1864695.0			486977.0	229385.0		635008.0	298258.0	117893.0	279643.0	2213050.0		280866.0		1692754.0	236414.0	85203.0	2928683.0	189280.0	97461.0
Cystathionine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			153173.0	0.0	0.0	0.0		154061.0				126147.0		124048.0	119745.0
Cystine	630982979.0	718419797.0	635819395.0	272641138.0	250587538.0	226705544.0	127335885.0	112672774.0	132835508.0	628849769.0	726461887.0	728879634.0	189046631.0	217260128.0	189343025.0	164139668.0	162120447.0	133017064.0	1833121585.0	1944308704.0	1838147198.0	824789297.0	861757633.0	831314793.0	437528979.0	407701053.0	440140077.0	1432561757.0	1493664113.0	1384584011.0	576086438.0	529193747.0	549019797.0	251312646.0	252569793.0	239954180.0
Cytosine	2067949.0	1673244.0	2755812.0	1299961.0	2179243.0	1384509.0	1001915.0	1513016.0	976538.0	2902009.0	1830687.0	2170772.0	1234099.0	1017516.0	1487517.0	1090360.0	606783.0	1022823.0	2795884.0	493302.0	1070223.0	1936447.0	1060506.0	421605.0	399469.0	1052627.0	572119.0	2076804.0	491174.0	2237021.0	517368.0	1066654.0	1381694.0	478212.0	1256884.0	1122583.0
dA	7567892.0	7830936.0	5693444.0	8457633.0	4058261.0	9312004.0	6578677.0	3023370.0	12456117.0	5545231.0	13418924.0	7389393.0	6198700.0	9716724.0	7407309.0	5807243.0	9002414.0	3776431.0	5055663.0	5130558.0	5047036.0	4460495.0	3406462.0	3662558.0	2901900.0	3535377.0	2934768.0	3401832.0	4223625.0	4210975.0	4467003.0	3239193.0	4180993.0	4158795.0	3107017.0	3796197.0
dC	6435411.0	7102756.0	6955596.0	7058399.0	6558631.0	7053254.0	6323093.0	6079337.0	5721714.0	8393438.0	6323673.0	7102465.0	6490317.0	6256105.0	7040122.0	6053549.0	5223698.0	5925524.0	3934104.0	3741607.0	3757024.0	3218064.0	2552899.0	2928003.0	2113795.0	2402000.0	2265913.0	3549932.0	3070772.0	3095362.0	3011151.0	2911128.0	3450149.0	1934653.0	2862396.0	1928249.0
dCMP			171969.0	0.0	0.0	0.0	95423.0	122983.0			88235.0		0.0	0.0	0.0	98711.0				65649.0		60652.0			0.0	0.0	0.0		83921.0		71126.0			0.0	0.0	0.0
dG			248346.0		488752.0	324060.0	422116.0	582399.0	672961.0			187958.0	184995.0	405162.0	419028.0		263905.0	348113.0	0.0	0.0	0.0		343192.0		258825.0		153273.0	0.0	0.0	0.0		282048.0		126472.0		129422.0
dT	10008845.0	10680540.0	9885265.0	10325452.0	9825104.0	7420663.0	7227100.0	7292756.0	6910876.0	9505935.0	10473749.0	10907667.0	8701456.0	9519173.0	8091833.0	7558717.0	5392571.0	7781363.0	6000111.0	6472502.0	7741637.0	3841315.0	5058068.0	5127387.0	4071719.0	4149398.0	3721930.0	5567931.0	6349403.0	5139225.0	5524045.0	5239238.0	3584656.0	4642695.0	4226743.0	2695664.0
dU	4817690.0	4195544.0	5211670.0	2638656.0	2960773.0	2446758.0	2112715.0	2393010.0	2247882.0	5097809.0	5848007.0	3957182.0	2803596.0	2474902.0	2691337.0	1993708.0	1978771.0	2748990.0	4061346.0	5028342.0	4773730.0	2203127.0	2430707.0	3005236.0	1544104.0	1378251.0	1725591.0	3400553.0	4477431.0	3134742.0	2373097.0	2661312.0	2115450.0	2107448.0	1226797.0	805236.0
F16BP	439887.0	533361.0	487524.0	1123048.0	2026353.0	1779059.0	279721.0	942858.0	516263.0	3914391.0	2825666.0	7181577.0	16286245.0	7975222.0	16414055.0	20850878.0	21407800.0	28195234.0	1933648.0	1796141.0	2813635.0	1012400.0	597497.0	1782155.0	860264.0	841200.0	1206254.0	3789813.0	3827914.0	2587876.0	34254264.0	41135843.0	37652883.0	50876906.0	58616134.0	57388888.0
Folate	11149904.0	11405762.0	12441587.0	5762276.0	6437310.0	6520025.0	4681471.0	5951478.0	4724527.0	10799571.0	9925261.0	10036923.0	6363655.0	5047864.0	6012075.0	5179871.0	4162839.0	4944687.0	194032299.0	166345000.0	180165635.0	105647230.0	90842440.0	91596826.0	66727852.0	77727711.0	72117494.0	178393951.0	146892163.0	172185331.0	68740378.0	85593312.0	83125474.0	58670456.0	68413219.0	72432049.0
Fru	962726716.0	972738116.0	986928232.0	741972333.0	741657741.0	722613652.0	557119221.0	567039004.0	508839765.0	807223137.0	841090364.0	883104061.0	559738789.0	581946963.0	496207524.0	492382264.0	450625078.0	472141136.0	32982322.0	34714786.0	37480082.0	30092809.0	26577715.0	27269117.0	22562383.0	23792185.0	18120624.0	28038092.0	36129025.0	29674905.0	30653371.0	29880844.0	30405965.0	23902357.0	19996469.0	23882081.0
Guanosine	1764600.0	1073581.0	1651965.0	1796236.0	1643636.0	1429006.0	1919244.0	2145079.0	3110415.0	2066228.0	1725771.0	2192732.0	1730476.0	2582247.0	2055648.0	1677488.0	1232709.0	1503514.0	1130596.0	734877.0	1314062.0	89173.0	619951.0	763808.0	1398744.0	1460845.0	1611888.0	496550.0	910002.0	749087.0			64232.0	884625.0	665930.0	426733.0
G6P-F6P	5383767.0	6502582.0	6241554.0	6944038.0	9286013.0	7889489.0	9251288.0	9344219.0	15699304.0	12529205.0	10265628.0	12279096.0	17353602.0	13931423.0	18560807.0	13400184.0	15117321.0	15421964.0	2736564.0	2344131.0	3652073.0	6397403.0	4558515.0	5494649.0	6553446.0	7085868.0	6659840.0	5260965.0	5931616.0	4352651.0	9039402.0	9338929.0	7002534.0	10424439.0	12521142.0	10188802.0
GABA	27306100.0	30444128.0	23421265.0	36280791.0	32771026.0	31600910.0	36775698.0	35768344.0	44347540.0	17692440.0	22066386.0	24894604.0	29062925.0	30768953.0	25952737.0	34263119.0	39715377.0	27604613.0	4062031.0	6580754.0	5930719.0	6287558.0	12724303.0	8093886.0	13142807.0	8336551.0	14447498.0	4841141.0	7209708.0	4018426.0	12849743.0	8261132.0	8083613.0	14332938.0	10411068.0	10107379.0
GDP	162590.0	498775.0	265266.0	890087.0	1179516.0	1700525.0	256360.0	516783.0	840722.0	89675.0	157371.0	332179.0	374570.0	183385.0	221888.0	949793.0	1276615.0	531955.0	134036.0	80139.0		158677.0	66990.0	149141.0	281811.0	62775.0	203184.0	0.0	0.0	0.0	1306788.0	2179492.0	1440553.0	2631412.0	3118281.0	4834843.0
Glc	14551483165.0	14035279040.0	14812744480.0	12271989841.0	12990414655.0	12390804490.0	10329463453.0	10756614199.0	9023112679.0	51573674250.0	48753273060.0	48286814237.0	44082551516.0	42635308852.0	41693618615.0	39016366514.0	34303794645.0	38690904768.0	22904314118.0	22367238725.0	21990559989.0	17885604412.0	16895175170.0	16811745127.0	11947796805.0	13018308572.0	11468160201.0	51350270299.0	47547153099.0	49525588055.0	39006582671.0	41436659491.0	40427171820.0	29641713761.0	32267964715.0	30219160901.0
GlcA	402104.0	3791002.0	2076880.0	2943883.0		797975.0	1662212.0	2906479.0		1199098.0		475026.0	9165745.0	10229194.0	12435448.0	2499077.0		2005648.0			676359.0		951563.0			1492261.0	961475.0		492992.0	678145.0	2304633.0		1260492.0	2888145.0		706994.0
GlcN	65048086.0	66967098.0	66302947.0	65678042.0	61149259.0	54406350.0	51622763.0	49756674.0	54349822.0	767659628.0	875567896.0	864240974.0	453168671.0	611526573.0	511582245.0	493546134.0	556054762.0	405628577.0	64810568.0	65629973.0	61729264.0	43590766.0	34791165.0	42723338.0	26170030.0	22862740.0	26565573.0	435514278.0	445456061.0	318927319.0	235334033.0	212108548.0	255751679.0	134242267.0	131944403.0	120600425.0
GlcNAc	14430117.0	11150585.0	13785941.0	13097127.0	13947062.0	13672502.0	12584323.0	13940739.0	10187929.0	26172418.0	23628930.0	21458608.0	14774802.0	12987955.0	14733088.0	11327874.0	10210706.0	12283187.0	15498558.0	11757359.0	11162276.0	9078332.0	7586495.0	7227041.0	7865757.0	8190624.0	7240293.0	14257252.0	12692335.0	15182354.0	6934385.0	9226977.0	8845110.0	4612451.0	6606618.0	7457306.0
GlcNAc-6P	915853.0	1441855.0	321962.0	805294.0	1291394.0	483043.0	1487089.0	691611.0		247681.0		158482.0	994573.0	585960.0	1677146.0	860757.0	992388.0	822827.0	305408.0	821184.0	408448.0	320837.0	411200.0	785266.0	2134973.0	2502927.0	1928111.0	942789.0	297666.0	1569443.0	789416.0	577708.0	1853318.0	1531057.0	2134650.0	1193514.0
Gln	14432423722.0	9270547747.0	11430435452.0	19917677040.0	20545795272.0	20953539232.0	20011254812.0	20721980345.0	15424248092.0	10781452141.0	8409561720.0	11739308563.0	19406158590.0	17259914251.0	16856247101.0	16477381260.0	15802872948.0	19330988318.0	43227073101.0	48163055512.0	58420963240.0	57073001409.0	54980059491.0	54988414208.0	42388393689.0	45423822200.0	41786413035.0	38822476518.0	43377205733.0	47946294744.0	45630428927.0	47721267357.0	46986683397.0	37130262873.0	39701725104.0	37935433939.0
Glu	1212233065.0	1117900508.0	1327488346.0	1120214145.0	1363849125.0	1311717206.0	1264978117.0	1359978815.0	1236460133.0	1189982633.0	1080243050.0	1130473981.0	1216452568.0	1025367315.0	1275611012.0	982288683.0	980598420.0	1196039795.0	524056491.0	462588221.0	467612561.0	621158966.0	520407104.0	504351052.0	694362744.0	760545419.0	693221893.0	577105153.0	454728075.0	562172411.0	485178555.0	630963538.0	624700090.0	730969231.0	815191840.0	757730024.0
Gly	421796597.0	441784973.0	373222651.0	454878482.0	391518695.0	438316210.0	397402127.0	361842864.0	417269151.0	373407282.0	391150118.0	392725835.0	370078933.0	389361719.0	351510006.0	389297810.0	399464986.0	347982813.0	253244584.0	300868149.0	260554361.0	262183105.0	278044760.0	265852295.0	178299516.0	178861909.0	190130591.0	215090563.0	252934072.0	231680351.0	263243742.0	227037486.0	244603624.0	164281414.0	163939553.0	178883499.0
